,Subject,0,Item,0,Condition,0,Word,0,0,0,0,RT,0,0
# Results on Tue,04 Apr 2023 16:58:41 GMT,,,,,,,,,,,,,
# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,like Gecko) Chrome/111.0.0.0 Safari/537.36,,,,,,,,,,,,,
# Design number was non-random = 3,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Columns below this comment are as follows:,,,,,,,,,,,,,,
# 1. Results reception time.,,,,,,,,,,,,,,
# 2. MD5 hash of participant's IP address.,,,,,,,,,,,,,,
# 3. Controller name.,,,,,,,,,,,,,,
# 4. Order number of item.,,,,,,,,,,,,,,
# 5. Inner element number.,,,,,,,,,,,,,,
# 6. Label.,,,,,,,,,,,,,,
# 7. Latin Square Group.,,,,,,,,,,,,,,
# 8. Field name.,,,,,,,,,,,,,,
# 9. Field value.,,,,,,,,,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,2,0,consent,NULL,consent,yes,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,4,0,intro1,NULL,age,26,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,4,0,intro1,NULL,natlang,magyar,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,4,0,intro1,NULL,childhoodcountry,Magyarország,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,4,0,intro1,NULL,currentcountry,Magyarország%2C 26 éve,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,4,0,intro1,NULL,parentlang,magyar,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,4,0,intro1,NULL,domlang,magyar,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,4,0,intro1,NULL,otherlang,angol%2C német,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,4,0,intro1,NULL,gender,female,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,5,0,intro2,NULL,question1,hamis,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,5,0,intro2,NULL,question2,igaz,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,5,0,intro2,NULL,question3,igaz,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Form,5,0,intro2,NULL,question4,hamis,,,,,,
# 8. Word number.,,,,,,,,,,,,,,
# 9. Word.,,,,,,,,,,,,,,
# 10. Alternative.,,,,,,,,,,,,,,
# 11. Word on (0=left,1=right).,,,,,,,,,,,,,
# 12. Correct.,,,,,,,,,,,,,,
# 13. Reading time to first answer.,,,,,,,,,,,,,,
# 14. Sentence.,,,,,,,,,,,,,,
# 15. Total time to correct answer.,,,,,,,,,,,,,,
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,0,Az%2C,Iz%2C,0,yes,2285,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,2285
