Subject,Condition,Item,Word,option.1,option2,side,correct,RT,fulltext,withredo
1,BothTheEver,35,0,The,Whe,0,1,630,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,630
1,BothTheEver,35,1,blacksmith,blackgrigs,0,1,775,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,775
1,BothTheEver,35,2,that,snat,1,1,1000,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,1000
1,BothTheEver,35,3,the,tha,1,1,768,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,768
1,BothTheEver,35,4,apprentice,addlentirm,0,1,801,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,801
1,BothTheEver,35,5,learned,leathes,1,1,735,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,735
1,BothTheEver,35,6,the,tha,1,1,609,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,609
1,BothTheEver,35,7,trade,trale,0,1,592,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,592
1,BothTheEver,35,8,from,snom,0,1,655,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,655
1,BothTheEver,35,9,will,woll,1,1,608,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,608
1,BothTheEver,35,10,ever,icer,1,1,992,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,992
1,BothTheEver,35,11,develop,devesym,1,1,889,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,889
1,BothTheEver,35,12,a,e,0,1,712,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,712
1,BothTheEver,35,13,technique,tentnibed,0,1,1000,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,1000
1,BothTheEver,35,14,for,wor,1,1,592,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,592
1,BothTheEver,35,15,heating,houning,0,1,688,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,688
1,BothTheEver,35,16,silver.,setver.,0,1,720,The blacksmith that the apprentice learned the trade from will ever develop a technique for heating silver.,720
1,MatrixTheEver,4,0,The,Tho,0,1,775,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,775
1,MatrixTheEver,4,1,scientist,chiantirs,0,1,1257,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,1257
1,MatrixTheEver,4,2,that,snat,0,1,967,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,967
1,MatrixTheEver,4,3,no,vo,0,1,1129,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,1129
1,MatrixTheEver,4,4,dean,doun,1,1,759,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,759
1,MatrixTheEver,4,5,respected,regranted,1,1,712,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,712
1,MatrixTheEver,4,6,as,ys,0,1,856,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,856
1,MatrixTheEver,4,7,a,e,0,1,760,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,760
1,MatrixTheEver,4,8,teacher,learter,0,1,672,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,672
1,MatrixTheEver,4,9,will,woll,0,1,720,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,720
1,MatrixTheEver,4,10,ever,iler,0,1,680,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,680
1,MatrixTheEver,4,11,publish,puptish,0,1,792,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,792
1,MatrixTheEver,4,12,a,e,1,1,713,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,713
1,MatrixTheEver,4,13,paper,mamer,1,1,616,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,616
1,MatrixTheEver,4,14,about,asiet,0,1,703,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,703
1,MatrixTheEver,4,15,blue,scue,1,1,641,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,641
1,MatrixTheEver,4,16,whales.,whawed.,1,1,975,The scientist that no dean respected as a teacher will ever publish a paper about blue whales.,975
1,MatrixTheEver,16,0,The,Tho,0,1,582,The protester that no guard believed to be kind will ever block a road outside the courthouse.,582
1,MatrixTheEver,16,1,protester,stavester,1,1,1104,The protester that no guard believed to be kind will ever block a road outside the courthouse.,1104
1,MatrixTheEver,16,2,that,grat,1,1,624,The protester that no guard believed to be kind will ever block a road outside the courthouse.,624
1,MatrixTheEver,16,3,no,vo,1,1,696,The protester that no guard believed to be kind will ever block a road outside the courthouse.,696
1,MatrixTheEver,16,4,guard,gumph,0,1,664,The protester that no guard believed to be kind will ever block a road outside the courthouse.,664
1,MatrixTheEver,16,5,believed,berieged,1,1,721,The protester that no guard believed to be kind will ever block a road outside the courthouse.,721
1,MatrixTheEver,16,6,to,ro,1,1,575,The protester that no guard believed to be kind will ever block a road outside the courthouse.,575
